Image Name,Dot Number,R Value,G Value,B Value
0hr_kitchen_weekday,one,216.24,161.08,95.12
0hr_kitchen_weekday,two,134.0,131.0,126.0
0hr_kitchen_weekday,three,161.36,157.36,120.44
0hr_kitchen_weekday,four,177.28,108.88,110.08
0hr_kitchen_weekday,five,197.64,159.64,86.0
0hr_kitchen_weekday,six,173.28,148.28,169.28
0hr_kitchen_weekday,seven,166.96,80.96,127.96
0hr_kitchen_weekday,eight,161.76,73.76,121.76
0hr_kitchen_weekday,nine,133.84,60.84,106.84
0hr_kitchen_weekday,ten,79.84,47.48,64.56
0hr_kitchen_weekday,eleven,135.12,84.12,127.12
0hr_kitchen_weekday,twelve,205.32,178.28,101.4
0hr_kitchen_weekday,thirteen,213.6,185.36,88.48
0hr_kitchen_weekday,fourteen,147.24,135.68,82.16
0hr_kitchen_weekday,fifteen,191.32,163.4,77.24
0hr_kitchen_weekday,sixteen,206.32,191.08,171.28
24hr_kitchen_weekday,one,220.0,159.92,96.92
24hr_kitchen_weekday,two,117.44,120.48,135.36
24hr_kitchen_weekday,three,141.76,150.76,123.36
24hr_kitchen_weekday,four,179.4,106.4,113.4
24hr_kitchen_weekday,five,182.88,154.36,88.12
24hr_kitchen_weekday,six,182.68,153.44,181.96
24hr_kitchen_weekday,seven,173.8,85.6,137.2
24hr_kitchen_weekday,eight,163.84,69.88,129.76
24hr_kitchen_weekday,nine,143.68,66.68,118.68
24hr_kitchen_weekday,ten,79.72,44.68,74.56
24hr_kitchen_weekday,eleven,124.96,74.96,124.44
24hr_kitchen_weekday,twelve,205.44,173.44,100.44
24hr_kitchen_weekday,thirteen,210.32,174.32,90.32
24hr_kitchen_weekday,fourteen,180.16,136.52,55.28
24hr_kitchen_weekday,fifteen,196.52,152.12,55.32
24hr_kitchen_weekday,sixteen,209.56,184.32,156.12
36hr_kitchen_weekday,one,214.08,154.64,91.84
36hr_kitchen_weekday,two,118.0,118.0,129.2
36hr_kitchen_weekday,three,141.72,147.12,117.2
36hr_kitchen_weekday,four,173.48,107.16,105.6
36hr_kitchen_weekday,five,180.6,153.92,89.0
36hr_kitchen_weekday,six,172.36,144.36,166.6
36hr_kitchen_weekday,seven,165.2,82.4,128.6
36hr_kitchen_weekday,eight,155.6,67.6,115.6
36hr_kitchen_weekday,nine,141.76,64.76,110.76
36hr_kitchen_weekday,ten,70.0,42.6,63.52
36hr_kitchen_weekday,eleven,119.12,68.12,111.12
36hr_kitchen_weekday,twelve,195.6,165.6,93.6
36hr_kitchen_weekday,thirteen,205.72,170.36,89.84
36hr_kitchen_weekday,fourteen,180.24,140.24,53.72
36hr_kitchen_weekday,fifteen,188.96,149.36,53.16
36hr_kitchen_weekday,sixteen,199.4,170.64,136.8
12hr_kitchen_weekday,one,219.08,164.84,101.76
12hr_kitchen_weekday,two,122.44,121.44,136.0
12hr_kitchen_weekday,three,143.12,150.44,124.0
12hr_kitchen_weekday,four,181.44,111.44,111.44
12hr_kitchen_weekday,five,183.52,155.12,92.24
12hr_kitchen_weekday,six,178.12,148.96,172.2
12hr_kitchen_weekday,seven,164.48,77.8,125.84
12hr_kitchen_weekday,eight,132.84,44.96,94.2
12hr_kitchen_weekday,nine,141.44,64.44,110.44
12hr_kitchen_weekday,ten,76.16,47.44,69.16
12hr_kitchen_weekday,eleven,116.08,68.0,107.24
12hr_kitchen_weekday,twelve,201.68,172.68,104.68
12hr_kitchen_weekday,thirteen,208.72,177.84,96.6
12hr_kitchen_weekday,fourteen,159.04,136.2,64.52
12hr_kitchen_weekday,fifteen,194.92,160.92,73.92
12hr_kitchen_weekday,sixteen,195.2,165.2,130.0
48hr_kitchen_weekday,one,223.4,157.0,98.64
48hr_kitchen_weekday,two,123.56,127.56,138.6
48hr_kitchen_weekday,three,142.64,151.64,124.64
48hr_kitchen_weekday,four,187.16,111.16,121.16
48hr_kitchen_weekday,five,188.72,152.0,93.28
48hr_kitchen_weekday,six,192.24,158.92,187.08
48hr_kitchen_weekday,seven,172.72,79.72,136.72
48hr_kitchen_weekday,eight,162.44,63.32,127.4
48hr_kitchen_weekday,nine,153.68,70.68,124.68
48hr_kitchen_weekday,ten,94.84,49.08,90.12
48hr_kitchen_weekday,eleven,116.88,66.4,112.64
48hr_kitchen_weekday,twelve,204.68,171.68,100.68
48hr_kitchen_weekday,thirteen,209.16,170.48,94.72
48hr_kitchen_weekday,fourteen,196.48,149.76,71.56
48hr_kitchen_weekday,fifteen,200.76,152.76,54.76
48hr_kitchen_weekday,sixteen,210.76,175.76,143.76
