Image Name,Dot Number,R Value,G Value,B Value
36hr_livingroom_weekday,one,217.52,173.6,113.64
36hr_livingroom_weekday,two,130.36,130.44,138.2
36hr_livingroom_weekday,three,154.12,159.4,125.6
36hr_livingroom_weekday,four,192.32,135.16,126.32
36hr_livingroom_weekday,five,182.76,158.24,91.24
36hr_livingroom_weekday,six,181.32,149.16,172.76
36hr_livingroom_weekday,seven,177.08,89.64,137.6
36hr_livingroom_weekday,eight,169.76,77.76,126.76
36hr_livingroom_weekday,nine,148.48,70.88,118.68
36hr_livingroom_weekday,ten,73.44,46.44,65.96
36hr_livingroom_weekday,eleven,128.32,77.32,120.32
36hr_livingroom_weekday,twelve,204.8,181.8,114.8
36hr_livingroom_weekday,thirteen,205.12,179.0,105.36
36hr_livingroom_weekday,fourteen,146.6,126.4,53.44
36hr_livingroom_weekday,fifteen,190.92,156.24,62.08
36hr_livingroom_weekday,sixteen,199.64,176.12,148.8
12hr_livingroom_weekday,one,221.64,170.16,113.16
12hr_livingroom_weekday,two,130.2,132.08,138.52
12hr_livingroom_weekday,three,156.44,157.44,125.44
12hr_livingroom_weekday,four,189.72,132.72,125.72
12hr_livingroom_weekday,five,183.6,159.0,95.8
12hr_livingroom_weekday,six,179.56,147.56,168.56
12hr_livingroom_weekday,seven,176.68,88.68,136.68
12hr_livingroom_weekday,eight,167.08,75.08,124.08
12hr_livingroom_weekday,nine,142.28,66.04,112.88
12hr_livingroom_weekday,ten,85.8,52.28,75.96
12hr_livingroom_weekday,eleven,133.8,78.8,120.8
12hr_livingroom_weekday,twelve,206.2,182.2,118.76
12hr_livingroom_weekday,thirteen,208.64,181.64,112.64
12hr_livingroom_weekday,fourteen,103.24,91.28,51.56
12hr_livingroom_weekday,fifteen,187.4,161.4,87.4
12hr_livingroom_weekday,sixteen,197.0,171.8,142.76
0hr_livingroom_weekday,one,215.28,163.36,107.84
0hr_livingroom_weekday,two,139.88,135.96,123.72
0hr_livingroom_weekday,three,169.8,161.8,112.8
0hr_livingroom_weekday,four,180.56,124.96,120.16
0hr_livingroom_weekday,five,194.52,161.52,84.52
0hr_livingroom_weekday,six,166.36,141.6,159.88
0hr_livingroom_weekday,seven,165.44,83.44,129.44
0hr_livingroom_weekday,eight,156.92,68.92,118.92
0hr_livingroom_weekday,nine,137.04,65.28,111.12
0hr_livingroom_weekday,ten,86.2,53.68,76.6
0hr_livingroom_weekday,eleven,128.0,76.0,123.28
0hr_livingroom_weekday,twelve,201.6,178.6,111.6
0hr_livingroom_weekday,thirteen,207.0,185.0,110.0
0hr_livingroom_weekday,fourteen,113.28,99.48,53.04
0hr_livingroom_weekday,fifteen,191.44,166.44,99.44
0hr_livingroom_weekday,sixteen,186.28,158.4,126.2
48hr_livingroom_weekday,one,220.72,169.6,121.64
48hr_livingroom_weekday,two,128.6,135.0,145.32
48hr_livingroom_weekday,three,149.84,156.72,126.08
48hr_livingroom_weekday,four,189.72,131.32,134.0
48hr_livingroom_weekday,five,180.08,153.08,98.08
48hr_livingroom_weekday,six,184.96,152.4,178.08
48hr_livingroom_weekday,seven,181.44,90.44,147.44
48hr_livingroom_weekday,eight,172.36,73.36,138.36
48hr_livingroom_weekday,nine,157.28,72.52,131.52
48hr_livingroom_weekday,ten,69.8,43.16,67.0
48hr_livingroom_weekday,eleven,125.28,71.4,123.4
48hr_livingroom_weekday,twelve,202.0,180.0,122.0
48hr_livingroom_weekday,thirteen,203.4,175.8,110.0
48hr_livingroom_weekday,fourteen,170.88,135.76,54.84
48hr_livingroom_weekday,fifteen,189.08,152.08,61.08
48hr_livingroom_weekday,sixteen,199.32,178.88,153.84
24hr_livingroom_weekday,one,222.12,166.48,106.92
24hr_livingroom_weekday,two,126.24,129.24,138.24
24hr_livingroom_weekday,three,151.28,154.68,123.2
24hr_livingroom_weekday,four,188.92,129.92,125.92
24hr_livingroom_weekday,five,180.36,154.92,93.0
24hr_livingroom_weekday,six,179.12,147.84,170.8
24hr_livingroom_weekday,seven,175.84,86.84,140.84
24hr_livingroom_weekday,eight,164.16,71.16,128.08
24hr_livingroom_weekday,nine,143.36,65.88,118.4
24hr_livingroom_weekday,ten,77.12,49.4,71.64
24hr_livingroom_weekday,eleven,129.88,75.88,124.88
24hr_livingroom_weekday,twelve,204.48,178.04,114.52
24hr_livingroom_weekday,thirteen,203.64,174.64,106.64
24hr_livingroom_weekday,fourteen,93.48,85.12,47.6
24hr_livingroom_weekday,fifteen,187.4,155.4,72.4
24hr_livingroom_weekday,sixteen,198.8,169.32,141.04
